X,Y,Name,
7.3807555068687,10.5242505411607,Rigasa Unsafe 1
7.42988120772892,10.4729632806408,Barnawa - Safe
7.46367771455567,10.5888943769261,Kawo Unsafe
7.44290502515386,10.5317544342948,URimi - Safe
7.46910664232986,10.472280291497,Narayi - Unsafe
7.40470913117669,10.4766486849349,Nasarawa - Unsafe
7.41080803351537,10.5239043049375,Tudun Wada - Unsafe
7.46500848011743,10.5571639966895,Malali - Safe
7.51348689325332,10.5287502702599,Milinium City - Safe
7.49162833935534,10.423829509252,NNPC - Safe
